Depth,Lon,Lat
100,150.854954954955,-35.1
100,151.416666666667,-33.8
100,152.844444444444,-32
100,150.245098039216,-36.2
100,153.73125,-29.4
100,153.786111111111,-28.1
100,148.914814814815,-38
100,150.16,-37
100,150.383333333333,-35.7
100,153.095833333333,-31.4
100,153.318181818182,-30.4
100,153.803603603604,-28.8
100,153.642156862745,-27.3
